Region,Country,Year,Nationality wise number of Foreign Tourists Arrivals (FTAs) in India (UOM:Number) |Scaling Factor:1,Nationality wise average duration of stay by Foreign Tourists Arrivals (FTAs) in India (UOM:Day) |Scaling Factor:1
North America,Canada,"Calendar Year (Jan - Dec), 2023",385938.0,40.9
North America,Others,"Calendar Year (Jan - Dec), 2023",4.0,9.3
North America,United States Of America,"Calendar Year (Jan - Dec), 2023",1691498.0,31.0
Western Europe,Austria,"Calendar Year (Jan - Dec), 2023",27420.0,21.1
Western Europe,Belgium,"Calendar Year (Jan - Dec), 2023",36158.0,22.0
Western Europe,Denmark,"Calendar Year (Jan - Dec), 2023",20200.0,16.4
Western Europe,Finland,"Calendar Year (Jan - Dec), 2023",12241.0,17.8
Western Europe,France,"Calendar Year (Jan - Dec), 2023",188981.0,21.0
Western Europe,Germany,"Calendar Year (Jan - Dec), 2023",223575.0,17.8
Western Europe,Greece,"Calendar Year (Jan - Dec), 2023",9206.0,14.5
Western Europe,Ireland,"Calendar Year (Jan - Dec), 2023",39166.0,23.5
Western Europe,Italy,"Calendar Year (Jan - Dec), 2023",116031.0,20.8
Western Europe,Netherlands,"Calendar Year (Jan - Dec), 2023",82047.0,17.3
Western Europe,Norway,"Calendar Year (Jan - Dec), 2023",20057.0,22.2
Western Europe,Others,"Calendar Year (Jan - Dec), 2023",14086.0,16.8
Western Europe,Portugal,"Calendar Year (Jan - Dec), 2023",81916.0,35.0
Western Europe,Spain,"Calendar Year (Jan - Dec), 2023",73412.0,18.4
Western Europe,Sweden,"Calendar Year (Jan - Dec), 2023",36007.0,24.3
Western Europe,Switzerland,"Calendar Year (Jan - Dec), 2023",41004.0,18.0
Western Europe,United Kingdom,"Calendar Year (Jan - Dec), 2023",920591.0,24.0
Eastern Europe,Czech,"Calendar Year (Jan - Dec), 2023",11656.0,17.5
Eastern Europe,Hungary,"Calendar Year (Jan - Dec), 2023",8156.0,16.3
Eastern Europe,Kazakhstan,"Calendar Year (Jan - Dec), 2023",22342.0,14.8
Eastern Europe,Others,"Calendar Year (Jan - Dec), 2023",98867.0,18.8
Eastern Europe,Poland,"Calendar Year (Jan - Dec), 2023",35457.0,13.5
Eastern Europe,Russian Federation,"Calendar Year (Jan - Dec), 2023",164125.0,27.5
Eastern Europe,Ukraine,"Calendar Year (Jan - Dec), 2023",11502.0,30.0
Africa,Egypt,"Calendar Year (Jan - Dec), 2023",15909.0,9.6
Africa,Kenya,"Calendar Year (Jan - Dec), 2023",49574.0,25.3
Africa,Mauritius,"Calendar Year (Jan - Dec), 2023",40442.0,16.8
Africa,Nigeria,"Calendar Year (Jan - Dec), 2023",11466.0,49.8
Africa,Others,"Calendar Year (Jan - Dec), 2023",129562.0,35.6
Africa,South Africa,"Calendar Year (Jan - Dec), 2023",41969.0,19.4
Africa,Sudan,"Calendar Year (Jan - Dec), 2023",14791.0,40.9
Africa,Tanzania,"Calendar Year (Jan - Dec), 2023",26790.0,30.5
South Asia,Afghanistan,"Calendar Year (Jan - Dec), 2023",1204.0,37.1
South Asia,Bangladesh,"Calendar Year (Jan - Dec), 2023",2119826.0,15.4
South Asia,Bhutan,"Calendar Year (Jan - Dec), 2023",35123.0,13.2
South Asia,Iran,"Calendar Year (Jan - Dec), 2023",18733.0,24.2
South Asia,Maldives,"Calendar Year (Jan - Dec), 2023",83776.0,17.0
South Asia,Nepal,"Calendar Year (Jan - Dec), 2023",195445.0,25.7
South Asia,Pakistan,"Calendar Year (Jan - Dec), 2023",28329.0,76.4
South Asia,Sri Lanka,"Calendar Year (Jan - Dec), 2023",280327.0,12.9
South East Asia,Indonesia,"Calendar Year (Jan - Dec), 2023",32677.0,15.6
South East Asia,Malaysia,"Calendar Year (Jan - Dec), 2023",262458.0,11.9
South East Asia,Myanmar (Burma),"Calendar Year (Jan - Dec), 2023",51235.0,14.5
South East Asia,Others,"Calendar Year (Jan - Dec), 2023",10680.0,21.6
South East Asia,Phillippines,"Calendar Year (Jan - Dec), 2023",50064.0,15.4
South East Asia,Singapore,"Calendar Year (Jan - Dec), 2023",183772.0,12.6
South East Asia,Thailand,"Calendar Year (Jan - Dec), 2023",116060.0,18.5
South East Asia,Vietnam,"Calendar Year (Jan - Dec), 2023",57284.0,10.6
East Asia,China,"Calendar Year (Jan - Dec), 2023",30585.0,33.3
East Asia,Japan,"Calendar Year (Jan - Dec), 2023",150521.0,20.8
East Asia,Others,"Calendar Year (Jan - Dec), 2023",33091.0,20.4
East Asia,Republic Of Korea,"Calendar Year (Jan - Dec), 2023",97726.0,28.9
Australasia,Australia,"Calendar Year (Jan - Dec), 2023",456167.0,30.0
Australasia,New Zealand,"Calendar Year (Jan - Dec), 2023",72458.0,34.7
Australasia,Others,"Calendar Year (Jan - Dec), 2023",6158.0,33.9
Not classified elsewhere,Not Classified Elsewhere,"Calendar Year (Jan - Dec), 2023",11056.0,36.4
